"sample","geo_accession","COO_raw","COO_clean"
"GSM776185","GSM776185","GCB","GCB"
"GSM776186","GSM776186","ABC","ABC"
"GSM776187","GSM776187","ABC","ABC"
"GSM776188","GSM776188","GCB","GCB"
"GSM776189","GSM776189","GCB","GCB"
"GSM776190","GSM776190","GCB","GCB"
"GSM776191","GSM776191","GCB","GCB"
"GSM776192","GSM776192","GCB","GCB"
"GSM776193","GSM776193","GCB","GCB"
"GSM776194","GSM776194","GCB","GCB"
"GSM776195","GSM776195","GCB","GCB"
"GSM776196","GSM776196","GCB","GCB"
"GSM776197","GSM776197","ABC","ABC"
"GSM776198","GSM776198","ABC","ABC"
"GSM776199","GSM776199","GCB","GCB"
"GSM776200","GSM776200","GCB","GCB"
"GSM776201","GSM776201","ABC","ABC"
"GSM776202","GSM776202","ABC","ABC"
"GSM776203","GSM776203","GCB","GCB"
"GSM776204","GSM776204","GCB","GCB"
"GSM776205","GSM776205","UC","UC"
"GSM776206","GSM776206","ABC","ABC"
"GSM776207","GSM776207","ABC","ABC"
"GSM776208","GSM776208","ABC","ABC"
"GSM776209","GSM776209","GCB","GCB"
"GSM776210","GSM776210","GCB","GCB"
"GSM776211","GSM776211","ABC","ABC"
"GSM776212","GSM776212","UC","UC"
"GSM776213","GSM776213","ABC","ABC"
"GSM776214","GSM776214","GCB","GCB"
"GSM776215","GSM776215","GCB","GCB"
"GSM776216","GSM776216","ABC","ABC"
"GSM776217","GSM776217","ABC","ABC"
"GSM776218","GSM776218","ABC","ABC"
"GSM776219","GSM776219","GCB","GCB"
"GSM776220","GSM776220","UC","UC"
"GSM776221","GSM776221","GCB","GCB"
"GSM776222","GSM776222","UC","UC"
"GSM776223","GSM776223","GCB","GCB"
"GSM776224","GSM776224","ABC","ABC"
"GSM776225","GSM776225","UC","UC"
"GSM776226","GSM776226","GCB","GCB"
"GSM776227","GSM776227","UC","UC"
"GSM776228","GSM776228","GCB","GCB"
"GSM776229","GSM776229","GCB","GCB"
"GSM776230","GSM776230","GCB","GCB"
"GSM776231","GSM776231","GCB","GCB"
"GSM776232","GSM776232","GCB","GCB"
"GSM776233","GSM776233","GCB","GCB"
"GSM776234","GSM776234","ABC","ABC"
"GSM776235","GSM776235","GCB","GCB"
"GSM776236","GSM776236","ABC","ABC"
"GSM776237","GSM776237","ABC","ABC"
"GSM776238","GSM776238","GCB","GCB"
"GSM776239","GSM776239","GCB","GCB"
"GSM776240","GSM776240","GCB","GCB"
"GSM776241","GSM776241","ABC","ABC"
"GSM776242","GSM776242","GCB","GCB"
"GSM776243","GSM776243","GCB","GCB"
"GSM776244","GSM776244","GCB","GCB"
"GSM776245","GSM776245","ABC","ABC"
"GSM776246","GSM776246","GCB","GCB"
"GSM776247","GSM776247","GCB","GCB"
"GSM776248","GSM776248","GCB","GCB"
"GSM776249","GSM776249","ABC","ABC"
