"endpoint_type","role_family","family_label","expected_test_count","observed_valid_test_count","capture_area_id","program_id","raw_p","BH_FDR","evaluability","exclusion_failure_reason"
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500536_Cap.area3_DLBCL_V1","proliferative_cycling",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500537_Cap.area4_DLBCL_V2","macrophage_rich",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500537_Cap.area4_DLBCL_V2","t_cell_inflamed",0.003996003996004,0.00649350649350649,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500537_Cap.area4_DLBCL_V2","stromal_fibrotic",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500537_Cap.area4_DLBCL_V2","immune_cold_exclusion",0.004995004995005,0.00763941940412529,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500537_Cap.area4_DLBCL_V2","proliferative_cycling",0.003996003996004,0.00649350649350649,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500538_Cap.area5_DLBCL_V2","macrophage_rich",0.154845154845155,0.167748917748918,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500538_Cap.area5_DLBCL_V2","t_cell_inflamed",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500538_Cap.area5_DLBCL_V2","stromal_fibrotic",0.94005994005994,0.94005994005994,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500538_Cap.area5_DLBCL_V2","immune_cold_exclusion",0.024975024975025,0.0324675324675325,"EVALUABLE",""
"MATCHED_NULL_GEARY","PRIMARY_DLBCL","06P_MATCHED_NULL_GEARY_PRIMARY_DLBCL_BH",26,26,"GSM8500538_Cap.area5_DLBCL_V2","proliferative_cycling",0.000999000999000999,0.00185528756957328,"EVALUABLE",""
