normalized_program_name,historical_program_name,gene_symbol,membership_index,source_workbook,source_sheet,source_excel_row
Proliferative / cycling program,Proliferative/cycling program,MCM4,12,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,103
Proliferative / cycling program,Proliferative/cycling program,MCM6,13,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,104
Proliferative / cycling program,Proliferative/cycling program,MCM7,14,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,105
Proliferative / cycling program,Proliferative/cycling program,STMN1,15,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,106
Proliferative / cycling program,Proliferative/cycling program,UBE2C,16,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,107
Proliferative / cycling program,Proliferative/cycling program,TYMS,17,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,108
Proliferative / cycling program,Proliferative/cycling program,TK1,18,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,109
Proliferative / cycling program,Proliferative/cycling program,CDC20,19,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,110
Proliferative / cycling program,Proliferative/cycling program,CENPF,20,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,111
Proliferative / cycling program,Proliferative/cycling program,HMGB2,21,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,112
Proliferative / cycling program,Proliferative/cycling program,RRM2,22,D:/DLBCL_spatial_niche_project/05_manuscript/Manuscript 12-Cancer Medicine/Supplementary_table.xlsx,S2A_Signature_genes,113
